Comment,Designator,Footprint,LCSC Part #
1.25-2P,D1 D3 FAN,1.25-2P,C393945
1uF,C3,C0603,
2k7,R5,R0402,
4 7uF,C4,C0603,C50936
4k7,R3,R0402,
10k,R1 R2 R4 R9 R12 R13 R14,R0402,
10uF,C2,C0603,
10μF,C17,C0603,
100n,C9 C10 C15,C0603,
100nF,C1,C0603,
100nF,C5,C0402,
470,R8,R0402,
470,R18 R19,R0603,
A1501WV-S-4P,SENSOR,A1501WV-S-4P,C225162
CH340C,IC3,SOIC16,
DMG2305UX,Q6,SUPER-SOT3,C144153
ESP-12S,U1,ESP12-SMD,
HT7833,LDO,SOT23-5,
JUMPER-SMT_2_NO_NO-SILK,SLEEP,SMT-JUMPER_2_NO_NO-SILK,
MMDT3904,Q1,SC70-6,C268586
PI4ULS5V202UEX,IC1,MSOP8,C481697
TS-1088R-02026,RESET,TS1088R02026,
