Comment,Designator,Footprint,LCSC Part #
1.25-2P,FAN,1.25-2P,C393945
1N5819WS,D3,SOD323-R,C191023
1uF,C3,C0603,
4 7uF,C4,C0603,C19666
10k,R1 R2 R4 R5 R6 R9 R12 R13 R14,R0402,
10μF,C17,C0603,
12MHz,Q6,3.2X2.5_KX-7,C97242
20p,C1 C2,C0402,
47uF,C7,C0603,C140782 
100k,R3 R7 R8 R10,R0402,
100n,C9 C10 C15,C0603,
100nF,C5,C0402,
100nF,C6,C0603,
470,R18 R19,R0603,
A1501WV-S-4P,SENSOR,A1501WV-S-4P,C225162
AO3404A,Q2 Q3 Q4 Q5,SOT23-3,
CH340G,IC3,SOIC16,
ESP32-WROOM-32D,ESP32,ESP32WROOM32D,C82899
HT7833,LDO,SOT23-5,
JST-PH-4,I2C,B4B-PH-K,C2321
MMDT3904,Q1,SC70-6,C268586
PI4ULS5V202UEX,IC1,MSOP8,C481697
TS-1088R-02026,RESET,TS1088R02026,
USB-C_DONLY918-418K2022Y40000,J1,USB-C-TH,C168704
