Designator,Mid X,Mid Y,Layer,Rotation
C1, 2.67, 5.82,Top,180.0
C2, 3.86,10.62,Top,180.0
C3, 7.19,18.34,Top,0.0
C4, 7.21,26.06,Top,0.0
C5,-12.50,48.11,Top,180.0
C6,-16.26,45.85,Top,180.0
C7,-13.23,45.85,Top,180.0
C9, 3.84,59.08,Top,90.0
C10, 3.86,64.87,Top,270.0
C15,-2.97,10.16,Top,180.0
C17,-4.75,20.09,Top,0.0
D3, 7.04,41.25,Top,270.0
ESP32,-11.68,58.78,Top,0.0
FAN, 9.41,41.26,Top,270.0
I2C,-14.27,34.98,Top,90.0
IC1, 6.63,61.98,Top,0.0
IC3,-1.24,15.14,Top,0.0
J1, 0.00, 1.60,Top,0.0
LDO, 7.21,22.66,Top,270.0
Q1, 0.56,21.79,Top,90.0
Q2, 1.93,43.59,Top,90.0
Q3,-8.61,43.64,Top,90.0
Q4,-5.21,43.61,Top,90.0
Q5,-1.80,43.61,Top,90.0
Q6, 2.64, 8.20,Top,180.0
R1,-15.04,48.11,Top,0.0
R2, 2.90,46.61,Top,90.0
R3, 1.85,46.61,Top,90.0
R4,-7.67,46.58,Top,270.0
R5,-4.27,46.61,Top,270.0
R6,-0.86,46.61,Top,270.0
R7,-8.71,46.58,Top,270.0
R8,-5.31,46.61,Top,270.0
R9, 2.64,21.79,Top,270.0
R10,-1.91,46.61,Top,270.0
R12,-14.27,41.12,Top,90.0
R13,-15.65,41.12,Top,90.0
R14,-1.50,21.79,Top,90.0
R18,-7.87,24.38,Top,270.0
R19,-5.84,24.38,Top,270.0
RESET,12.22,70.18,Top,270.0
SENSOR, 9.91,52.22,Top,270.0
