Designator,Mid X,Mid Y,Layer,Rotation
C1, 2.67, 5.82,Top,180.0
C2, 3.86,10.62,Top,180.0
C3, 7.52,18.34,Top,0.0
C4, 7.37,26.06,Top,0.0
C5,-11.35,46.41,Top,180.0
C6,-13.26,44.04,Top,0.0
C7,-13.26,41.99,Top,0.0
C9, 3.84,56.59,Top,90.0
C10, 3.86,65.30,Top,270.0
C14, 5.18,14.78,Top,270.0
C15,-2.97,10.16,Top,180.0
C17,-4.75,20.09,Top,0.0
D3, 7.01,53.92,Top,270.0
ESP32,-10.68,57.28,Top,0.0
FAN, 9.39,53.94,Top,270.0
IC1, 5.11,61.06,Top,0.0
IC3,-1.24,15.14,Top,0.0
J2,-0.03,69.82,Top,180.0
J3,15.34,65.96,Top,90.0
J4,15.34,53.94,Top,90.0
LDO, 7.21,22.66,Top,90.0
Q1, 0.56,21.79,Top,90.0
Q2, 1.93,41.78,Top,90.0
Q3,-4.52,41.10,Top,90.0
Q6, 2.64, 8.20,Top,180.0
R1,-13.89,46.41,Top,0.0
R2, 2.90,44.81,Top,90.0
R3, 1.85,44.81,Top,90.0
R4,-2.77, 6.81,Top,270.0
R5,-1.32, 6.83,Top,270.0
R7,-4.98,44.04,Top,0.0
R8, 1.42,35.76,Top,0.0
R9, 2.64,21.79,Top,270.0
R14,-1.50,21.79,Top,90.0
R18,-7.87,24.38,Top,270.0
R19,-6.83,24.38,Top,270.0
RESET, 8.28,11.84,Top,90.0
SENSOR, 9.50,68.96,Top,0.0
J1, 0.00, 1.60,Top,0.0
