Comment,Designator,Footprint,LCSC Part #
1.25-2P,FAN,1.25-2P,C393945
1N5819WS,D3,SOD323-R,C191023
1uF,C3,C0603,
4 7uF,C4,C0603,C19666
5.1k,R4 R5,R0402,C25905
10k,R1 R2 R7 R8 R9 R14,R0402,
10μF,C17,C0603,
12MHz,Q6,3.2X2.5_KX-7,C97242
20p,C1 C2,C0402,
47uF,C7,C0603, 
100k,R3,R0402,
100n,C9 C10 C15,C0603,
100nF,C5,C0402,
100nF,C6,C0603,
100uF,C14,C1206,C15008
470,R18 R19,R0402,
A1501WV-S-4P,SENSOR,A1501WV-S-4P,C225162
BSS138,Q2 Q3,SOT23-3,C78284
CH340C,IC3,SOIC16,
ESP32-WROOM-32D,ESP32,ESP32WROOM32D,C82899
HT7833,LDO,SOT23-5,
JST-SH-4_VERT,J2,1X04_1MM_RA_VERT,C371588
JST-SH-6_VERT,J3 J4,1X06_1MM_RA_VERT,C145963
MMDT3904,Q1,SC70-6,C268586
PI4ULS5V202UEX,IC1,MSOP8,C481697
TS-1088R-02026,RESET,TS1088R02026,
918-418K2022Y40000,J1,918-418K2022Y40000,C168704
