Designator,Mid X,Mid Y,Layer,Rotation
C8, 2.72,32.94,Bottom,270.0
C11, 2.54,48.46,Bottom,270.0
C12, 2.69,63.98,Bottom,270.0
C13,-2.84,56.76,Bottom,90.0
C18,-3.66,45.48,Bottom,0.0
D1, 0.00,33.00,Bottom,180.0
D2, 0.00,48.50,Bottom,180.0
D4, 0.00,64.01,Bottom,180.0
D5,14.30,39.13,Bottom,0.0
I2C_PULL_UP,-10.64,65.33,Bottom,270.0
IR1, 0.00,41.17,Bottom,180.0
PT1, 0.00,56.25,Bottom,180.0
Q4,16.48,43.79,Bottom,0.0
R6,-2.84,54.70,Bottom,90.0
R10,15.95,46.95,Bottom,90.0
R11,16.99,46.95,Bottom,90.0
R12,-8.86,66.34,Bottom,270.0
R13,-12.45,66.34,Bottom,270.0
R15,-3.66,44.34,Bottom,180.0
R17, 7.82,63.47,Bottom,90.0
SG1,14.38,34.90,Bottom,0.0
