Comment,Designator,Footprint,LCSC Part #
1.25-2P,FAN,1.25-2P,C393945
1N5819WS,D3,SOD323-R,C191023
1uF,C3,C0603,
4 7uF,C4,C0603,C19666
5k1,R4 R5,R0402,
10k,R1 R2 R7 R8 R9 R14 R16 R19,R0402,
22uF,C19,C0603,
47uF,C7,C0603,
100k,R3,R0402,
100n,C20,C0402,
100nF,C5,C0402,
100nF,C6,C0603,
100uF,C14,C1206,C15008
A1501WV-S-4P,SENSOR,A1501WV-S-4P,C225162
BSD840NH6327,Q5,SC70-6,C151516
BSS138,Q2 Q3,SOT23-3,C78284
CH9102F,IC2,QFN24-4X4,
ESP32-WROOM-32D,ESP32,ESP32WROOM32D,C82899
JST-SH-4_VERT,J2,1X04_1MM_RA_VERT,C371588
JST-SH-6_VERT,J3 J4,1X06_1MM_RA_VERT,C145963
ME6211C33M5G,IC1,SOT23-5,
MMDT3904,Q1,SC70-6,C268586
TS-1088R-02026,RESET,TS1088R02026,
1N5819WS,D5,SOD323-R,
2.2uF,C18,C0402,
10k,R10 R12 R13 R17 R18,R0402,
47k,R6,R0402,
100k,R11,R0402,
100n,C8 C11 C12 C13,C0402,
220,R15,R0402,
BSS138,Q4,SOT23-3,
FUET-5020,SG1,FUET-5020,C391029
IRM-H638T/TR2,IR1,SMD-4_4.0X5.0X2.54P,
PT26-21B/TR8,PT1,PT26-21B/TR8,C131248
WS2812B,D1 D2 D4,WS2812B_2020,C965555
918-418K2022Y40000,J1,918-418K2022Y40000,C168704
